expressions,synonyms,ex
hold all the cards,possess a significant advantage,"we currently hold all the cards, so we should ask for a better deal. Let's ramp up the negotiations."
great minds think alike,we had the same good idea,my brother and I are wearing the same shirt today. Great minds think a like.
the good life,a quality way of living,I feel so happy when I look at his holiday photos on instagram. That's definetely the good life.
have sb on a leash,have sb under strict control,Paul's girlfriend has him on a leash. He never comes out to Friday drinks anymore.
early bird,early riser,"George is a real early bird. He's always at the gym before I even wake up. Well, I can do the same as a one off but not consistently."
gut feeling,instinct,you don't have to believe what I said but my gut feeing always turns out to be true.
up to snuff,up to the required standard,I need to make sure that Mark's work is up to snuff before I send it to the client. His attention to detail is pretty poor.
on fire,doing exceptionally well,"Kevin's been on fire lately. New girlfriend, promotion at work, and going on holidays next week."
couldn't careless,be unconcerned,at the end of the day I couldn't careless about anyone else's opinion. I believe in myself.
get ahead of oneself,act too early,my biggest problem is getting way ahead of myself sometimes. I need to stop jumping the gun.
luck of the draw,the result of chance,"success is partly luck of the draw, but whether you can think and make an effort is way more important than that."
chip in,contribute,I'll chip in 5 dollars for that present we're buying for John.
work (sth) out,solve sth; go well,I am pretty stressed at the moment. I am trying to work out this math problem my teacher gave me.
simple as that,very straightforward,I need you to finish this report by tomorrow. Simple as that.
drag on,progress slowly,this meeting has dragged on for a while. Do you know if it's going to finish soon?
still early days,still early in the process,"it's still early days so we havent finished planning our entire itinerary yet. I've also been slammed at work, so havent had time."
no chance,no possibility,"you told me there is no chance that my ex would ever message me back. I sent her a message just to prove you wrong, and yep, you were right."
I'm off,I'm leaving,"I'm off, I will see you tomorrow."
get on with sth,continue doing sth,let's just get on with it. We have a lot of work to get through and cant afford to spin wheels.
cut back on sth,reduce sth,it's gonna be a bit tricky but I should cut back on my coffee intake. It's costing me a lot each week.
stand sb up,leave sb waiting,I am so sick of Matt. He has stood me up so many times before so I am not going to wait for him any longer.
need to be somewhere,have an appointment to make,I tried to book John for lunch tomorrow but he needs to be somewhere. It is disappointing because I moved heaven and earth to fit him in.
on sb's plate,on sb's to-do list,"I have a lot on my plate at the moment, so I won't be able to help you move house tomorrow."
sb's thinking is (that),sb's opinion is (that),Julie's thinking is that we should buy rather than rent a house as it will be more cost-effective in the long run.
push it,push the limits,I was going to ask my boss for a pay raise but I thought that might be pushing it. I've only been here for a few months.
cut sb some slack,go easy on sb,"cut me some slack, man. I know I asked her outon a date but that was because I didn't know she was your girlfriend."
pack up,gather one's belongings together,"I am going home in a few minutes, so I'm going to pack up."
back to square one,back to where one started,"all my saved games vanished into thin air, so I am completely back to square one. I'm shattered."
pull sth off,succeed in sth,I didn't think that Hamish would be able to pull it off but he managed to get us a few tickets to the concert tonight.
hard to please,difficult to impress,My parents are very hard to please. Anything less than full marks upsets them. Im usually stoked if I pass.
give sb a second,wait for sb for a moment,can you give me a second to grab my coat before we head outside?
stick up for ,protest sb,thank you for sticking up for me. It means a lot.
let it slide,negligently allow,I will let it slide this time but I wont let you next time.
look into,investigate sth,I still havent received the refund I requested a month ago. Can you please look into this?
full-on,overwhelming,the work that you've given to me is pretty full-on. I might need you to give me a hand with it later.
throw shade,insult subtly or indirectly,I really hate when people throw shade at each other on twitter. They must have too much free time.
axe sth,terminate sth,I have finally axed my facebook account. All those people I have never met in real life are gone.
business as usual,nothing out of the ordinary,"today is easter Sunday, but it's business as usual here since Japan doesn't celeblate easter."
give sb a hand,help sb,can you please give me a hand with hanging this painting?
kick oneself,feel regret,I am really kicking myself for not buying shares in that company. The share price has doubled over the last month.
back sth/sb,support sth/sb,I back your decision to go to tokyo during spring. It's the best time to visit there.
blow off some steam,release stress,I'll just play some online games to blow off some steam this afternoon.
keep sb on sb's toes,keep sb alert,I need to check in with this new grad every day to keep him on his toes. What a plan.
sit on the fence,be undecided,you cant keep sitting on the fence. A decision needs to be made in the next week.
not that I know of,to the best of my knowledge,"am I getting fired next week? Not that I know of, but a lot can happen in a few days in this kind of environment."
shady,suspicious,"I got food poisoning from a shady caf' lunch, just wanted to give you a heads up."
what's the deal with,what's the reason for sth/sb,what's the deal with the new haircut? Do you have a job interview or something?
have a hunch (that),have a feeling (that),although I liretally have no money I have a hunch my gf is expecting a big birthday present.
sneaky,sly,stealing your friend's assignment is very sneaky.
big call,bold statement,I love this young coach because he's never afraid to make a big call.
on sb's mind,in sb's thoughts,what's on your mind? Let me know if you have any concerns.
house keeping matters,tasks that are not the main purpose of the activity,"each day at work, I have to take care of so many house keeping matters like booking restaurants and making calls."
on autopilot,living life without thinking,I am going on holidays tomorrow so I have been on autopilot over the last couple of days.
drop sth,quit sth,if you don't like what you are doing drop it right now and do something you are passionate about. You only live once.
play to one's strengths,take advantage of what one is good at,"as James was very talented at math, he decided to teach math to play to his strength."
out of action,non-operational,"I broke my arm last week, so I'll be out of action until at least next Wednesday."
sort sth out,finalize or resolve sth,I need to spend some time sorting out my holiday plans.
have a lot to do with sth,be mainly due to sth,I think tom's rapid rise in the company has a lot to do with his father being the CEO of the company.
grill sb,question sb harshly,the new prime minister was getting absolutely grilled by the journalists because of his new immigration policies.
sit back and relax,unwind,"we'll go to the bar, order a drink, and sit back and relax."
jump ship,leave,you cant just jump ship every time things get slightly difficult.
find one's feet,find one's place,"it took me a while to find my feet at this new school but now that I have, I love it."
get exposure to sth,get experience in sth,I havent gotten much exposure to japanese culture before but I'm keen to learn more.
get up to speed,get updated,I'm waiting to get up to speed on modern marketing. I know there's a lot I don't know.
something is up for sth/sb,something is wrong with sth/sb,I think something is up for my friend. She hasn't stopped crying all week.
catch you later,see you,"catch you later Bill, I will see you tomorrow."
vanish into thin air,disappear suddenly and completely,my hard earned money just vanished into thin air. I hate gambling.
let one's hair down,relax,now that the busy period has ended I can finally let my hair down.
go-to,preferred or favorite,"when it comes to studying english, this book is my go-to."
brush up on sth,renew sb's skill in sth,I really need to brush up my english I havent studied for long time.
good stuff,well done,you've already finished your homework! Good stuff.
prep for sth,prepare for sth,"I cant go out tonight, I have to prep for this meeting tomorrow."
put up a fight,resist,I didn't really put up with a fight when Michelle told me I was wrong since it was pretty obvious.
"in one ear, out the other",heard but not remembered,"when I am showing him the ropes it seems to be in one ear, out the other."
drop the ball,make a mistake,I really dropped the ball on this assignment. It's five weeks late.
crunch time,the critical period,the next two weeks are going to be nothing but studying for the exam. It is crunch time.
cut it out,stop it,"cut it out, man. That sound of nails sctatching a blackboard really makes me cringe."
bittersweet,happy and sad,the first time I left home was a bittersweet moment for me.
on the ball,alert; aware of what is happening,kevin should be able to answer all your questions. He's pretty on the ball.
put on a brave face,try to appear calm,"I think he is under a lot of stress, despite putting on a brave face."
make a fuss,become angry and complain,you should stop making a fuss about every little noise that's made when you're in the library. It just indicates your lack of concentration.
on the top of one's head,from what one can recall immediately,"my teacher told me I will never ever regret being kind to someone, but I can think of at least three people off the top of my head that I regret being nice to."
newbie,novice,I don't know why he is so bad at his new job. He has been doing it for months now so he's not exactly a newbie.
dig oneself into a hole,get oneself into a difficult situation,you should stop making up fake excuses for being late for work as you are just digging yourself into a hole.
on the house,free of charge,I only to work events if drinks and food are on the house.
out of left field,unexpectedly,Bill's purchase of a new watch came out of left field. I thought he was broke.
jog sb's memory,help sb recall,I don't really remember what we discussed at the meeting last month. Can you jog my memory?
get away with sth,avoid punishment for sth,my daughter knows she can get away with anything at home.
no-brainer,obvious choice,KFC or McDonalds? McDonalds. It is a no brainer. I had KFC yesterday.
on the same wavelength,similar in thinking,my bestfriend and I are on the same wavelength.
away,on leave,"I am away over the long weekend, so you wont be able to call me."
kick start sth,give fresh impetus to sth,you cant just kick start the economy by pumping more money in. it's not sustainable.
the last straw,the last of a series of problems that causes a loss of patience,"I've said I was gonna block this guy several times, but these persistant and annoying messages were the last straw. I am actually doing it now."
shoot oneself in the foot,cause oneself difficulty,I shot myself in the foot when I kept nodding at my boss because he realized that I wasn't actually listening.
keep track of sth,monitor sth,can you please keep track of our spending for this month? I am concern that we are wasting too much money on food.
keep sb posted,keep sb updated,I am glad to hear you are having a great time in New York. Keep me posted.
get straight to the point,talk about the main topic immediately,"I was a bit pressed for time, so I got straight to the point during our meeting."
bounce off the walls,be energetic ,I literally bounce off the walls when I drink red bull. I always feel like I have wings on my back.
gather one's thoughts,put one's ideas together,I need a moment to gather my thoughts before giving a speech this afternoon.
ground rules,basic principles,we need to set some ground rules around attendance at meetings as some people don't turn up when they are supposed to.
for real,serious; seriously,is he thinking about driving in that weather for real? It looks like a storm is brewing.
one size fits all,generic,"there is no one size fits all approach for english studies, so always ask yourself if the method you are being taught suits your style."
on top of sth,fully informed of sth,"I'd ask Lisa, as I think she is probably on top of this issue."
sb's thing,what sb llikes; what sb usually does,going to karaoke alone is my thing.
long story short ,in summary,so many things happened yesterday but long story short I got dumped.
think on sth,contemplate sth,it seems my boss wants me to move to Vietnam with him for work but I've told him I need to think on it.
switched on,clever,the new starter learns things really quickly. He's really switched on.
ease into sth,be slowly introduced to sth,in my experience drinking plenty of water is one of the best ways to ease into a healthy diet.
true that,I agree,we wont die even if we miss the deadline? True that.
slip sb's mind,be forgotten by sb,Sorry I forgot to buy milk. It completely slipped my mind.
burn one's bridges,eliminate one's possibility of return,"I'd rather have one real friend than a bunch of fake ones, so I bit the bullet and burned all my bridges with all of them."
one sided,unilateral,"I know I have to stop thinking about my one-sided crush, but it's easier said than done."
get sth off one's chest,confess sth,is there something that you need to get off your chest? You look very guilty.
free sth up,make sth available to be used,I'll free up some time so that we can have lunch tomorrow. I'm really keen to catch up.
catch sb off guard,surprise sb,Let's better understand the tactics of the oppositioin so that we are not caught off guard.
buy sth,believe sth,I don't think Emma will buy your story. You lie to her all the time.
cheap shot,unfair attack,the hamburger shop making fun of vegans is a cheap shot.
out of nowhere,suddenly and unexpectedly ,carl's bad mood came out of nowhere. He was really happy this morning.
go on (and on) about sth,continuously talk about sth,he kept going on about the importance of understanding the forgetting curve when it comes to realizing effective vocabulary memorization.
put one's heads together,collaborate,we all decided to drop out of college and put our heads together to start a new business.
back and forth,discussion,"after a lot of back and forth with Shaun, we finally agreed on his new salary. It was a bit touch and go for a while."
lose track of time,be unaware of what time it is,I lost track of time because the movie I was watching was just fantastic.
across the board,affecting everything or everybody,the new software will be implemented across the board.
big picture,overall view,"if things are not going right for you in life, take a step back look at the big picture and make changes."
fly under the radar,go unnoticed,"1. I have no clue why this song has flown so far under the radar. It is a masterpiece, hands down.
2. Norman likes to fly under the radar at work so that he doesn't get given more tasks."
for all intents and purposes,essentially,"1. For all intents and purpose, Nick and James are best friends.
2. For all intents and purpose, the largest chinese search engine Baidu is China's version of Google."
upbeat,positive,Kelly remainded upbeat despite her broken leg.
change it up,freshen things up,Let's change it up today and have our meeting standing up rather than sitting down.
play one's cards right,act correctly,"if I play my cards right, I should be able to get Emma to go out to dinner with me next week."
cream of the crop,best,is this band really the cream of the crop in Tokyo? My child plays better than they do.
in good shape,in a good condition,testing whether you can hold a plank for about a minute or longer is a good way to check if you are in good shape.
wouldn't hurt to do,might be worthwhile doing,it wouldn't hurt to bring a laptop to the meeting but I don't think it's really necessary.
down the road,in the future,"I would like to say that I'll love you forever, but I cant. I am not sure how I will feel down the road."
thick-skinned,insensitive to criticism,working in the hospitality industry makes you thick skinned.
life of the party,very likely and amusing person,he is defenitely the life of the party for our team. He always hypes us up.
quality over quantity,quality more than volume,what makes this brand so strong in the market is their focuc on quality over quantity.
make a call,make a decision,I've gotta ask my manager first cause I don't have the authority to make a call on this kind of stuff.
for argument's sake,for the purpose of debate,"1. you've just said planning devil's advocate makes people smarter, but for argument's sake, let's say don't.
2. For argument's sake, say it's an hour to your workplace and an hour back. That is two hours out of a day. Don't you think it's a lot?"
plan of attack,detailed plan,let's work out a plan of attack so that we know what each person is responsible for delivering.
get off to a rough start,start off badly,the market got off a rough start today due to the disappointing employment statistics.
open (up) a can of worms,create an issue that leads to more issue,let's not tell him about what happened yesterday. It might open up a can of worms.
pick up the pace,speed up,you gotta pick up the pace and post more videos on YouTube if you wanna be successful.
chip away at sth,progress steadly,I'm chipping away at the book. Ive read about half of it so far.
pick sth up,start sth,"now that I have quit my job, I have so much more spare time. I really need to pick up a new hobby."
get under sb's skin,annoy sb,not getting under people's skin is one of the critical skills to succeed in life.
on board with sth,in agreement with sth,I have finally found a great location that we can all get on board with for this party.
keep sb in the loop,keep sb informed,can you please keep me in the loop with how the project is going?
wishful thinking,overly optimistic thinking,"my wife and I talked about buying a new house in Hawaii, but it is kind of just wishful thinking right now."
if it were up to me,if I could make the decision,"if it were up to me, I would have at least five more dogs."
keep it between us,keep it secret,"I will tell you the real reason why I am travelling to north korea next week, as long as you promise to keep it between us."
make sb's day,make sb very happy,finally meeting up best internet friend in person really made my day.
book smart,academically intelligent,"he said african slaves were ""immigrants"" who came to america with a dream. He is very book smart but his social awareness is terrible."
street smart,good at navigating life,my thinking is that being street smart comes from experience.
backstabber,betrayer,I wouldn't trust Jim to keep my secret. He has a reputation of being a backstabber.
I'm game,I'm keen,"Sarah said, ""Do you wanna come shopping with me next time?"" so I said, ""yeah I'm game""."
get one's act together,organize one's affairs,I havent done any work over the last couple days. I gotta get my act together before my boss finds out.
dirve a hard bargain,negotiate strongly,"Liz drives a hard bargain. She said ""I will resign unless I get promoted this year."""
high level,superficial,"I have only done a very high-level review of your work, so wont pick up all the little mistakes."
in the mix,considered for selection,I wonder why australia has never been in the mix for hosting the World Cup.
stack up,make sense,none of your explanation stack up. Is that a fake story?
one way or another,somehow,"google maps isnt working, but one way or another I will find my way to the park."
hit it off,get along,I heard you met the new employee yesterday. Did you hit it off with her?
have a soft spot for sth/sb,have a weakness for sth/sb,I have a weak spot for limited edition snacks.
for the foreseeable future,for the near future at this point in time,I am leaving Japan for the foreseeable future to grasp more opportunities in the world.
back seat driver,micromanager,"the manager always tells people what to do, but I have never acutually seen her do any work herself. She's such a back-seat driver."
hard on sb,harsh on sb,"Brian has been very hard on his team lately, as the project deadline is pretty ridiculous."
pull at sb's heartstrings,make sb emotional,"this scene makes me cry every time, it really pulls at my heartstrings."
foot the bill,pay the remiander; pay it all,"if everybody contributes ten dollars each, I will foot the bill."
on top of the world,very happy,I was feeling on top of the world after finishing the long project.
get back to (the) basics,return to the fundamentals,let's get back to the basics and start improving education in the classroom on a really fundamental level.
sit on sth,delay doing sth,do you know why George has been sitting on this part of the assignment?
force the issue,compel a decision,he has been dragging his feet about paying my salary. So I've gotta force the issue soon.
view sth in a certain light,consider sth from a particular perspective,japanese can be better than english as a language when you view it in a certain light.
by and large,all things considered generally,"by and large, people like sleeping."
be killing sb,frustrating ab,Can you stop chewing with your mouth open?  It's killing me.
live with sth,tolerate sth,"I can live with failure, but I cant live with not trying."
go off track,get sideracked,"our project has gone a bit off tracks over the past week, so we might have to work a bit harder this week to fix it up."
land on one's feet,recover well or quickly,"it is sad we had to fire him, but he will land on his feet and be successful somewhere else."
done deal,things that's finalized,my transfer to the office in london is a done deal. I am going to be moving next week.
that ship has sailed,that opportunity has been missed,"a lot of kids these days say they wanna be a youtuber in the next few years, but that ship will have sailed by then."
checks and balances,mechanisms that prevent or identify issues,there are checks and balances within the organization to make sure that people cant just transfer money to themselves.
lighten the mood,improve the atmosphere,it is hard to lighten the mood when someone gets hurt.
something along those lines,something similar,can you buy me a can of Fanta or something along those line?
do sth for the sake of doing sth,do sth without a clear purpose,many students study for the sake of studying with no clear goals. That is the biggest problem.
on point,stylish,your haircut is very on point.
have a word with sb,talk with sb briefly,"hey, can I have a word with you in private? I've got something to tell you."
insurance policy,risk reduction measure,I brought notes up on stage with me as an insurance policy in case I forget parts of my speech.
hot-headed,quick tempered,"he is pretty hot-headed, so try not to provoke him."
better safe than sorry,it is wise to be careful rather than be careless,"I think I ordered too many drinks for the party, but better safe than sorry right?"
put all one's eggs in one basket,rely on a single course of action for one's success,I'd like to put all my money on the first horse but I know I shouldn't put all my eggs in one basket.
batch sth,group sth,"rather than everyone making an order saparately, let's batch them together for Tom to take care of."
keep things moving,maintain progress,I know Yuki is sick today but we still need to keep things moving in his absence.
hit a roadblock,encounter difficulty,"if you believe you've hit a roadblock, take a step back and think about the root cause."
that's a first,that's unusual,that's a first. My mom didn't blame me for not getting full marks.
fed up,dissatisfied,I think my boss is fed up with me always missing deadlines.
see eye to eye,agree with each other,"we don't always see eye to eye, but I always love my parents."
stick it out,persist to the end,"I wanna quit my job, but then I also think I should stick it out. I'm stuck between a rock and a hard place."
in the grand scheme of things,from a holistic point of view,stay positive. Challenges are great for a career in the grand scheme of things.
in and of itself,by itself,"this sashimi is really delicious in and of itself. We don't need to add anything else, even soy sauce."
get sth out the door,get sth completed,let's get this report tidied up and out the door so that we can all go home.
bank on sth/sb,count on sth/sb,I wouldn't bank on a bonus this year.
blanket term,generic phrase,"I really wish people would stop using ""ramen"" as a blanket term for noodle soups. Udon and soba are not ramen."
have no filter,speak very frankly,"kids have no filter. I told my 4 year old daughter that we cant have a dog because Grandpa is allergic, and she said he just needs to move house."
set the bar high,lift the target,"with a great performance, Michael's set the bar high for the rest of the competitors."
get to the bottom of sth,find the root cause of sth,I am trying to get to the bottom of why my laptop wont start.
cant be helped,cant be changed,everyone is a little selfish. It is human nature and it cannot be helped.
back in the day,in the past,"back in the day, I used to spend a lot of money on clothes."
going nowhere,not progressing,I decided to change jobs because my career was going nowhere. It's been good starting somewhere new with a clean slate.
"too little, too late",too late to make a difference,your apology is too little too late. We've already signed a contract with somebody else.
all hands on deck,contributions from everybody,we need all hands on deck tonight to finish this group assignment by tomorrow.
hang sb out to dry,expose sb to danger; abandon sb,a lot of college students hang themselves out to dry by taking on more debt than they can afford.
err on the side of caution,be cautious,"I don't think anyone but parents should ask children if they believe in Santa. When talking to someone else's kids, we should err on the side of caution."
between a rock and a hard place,in a dillenma,"I am between a rock and a hard place at the moments as my parents want me to stay in Tokyo, but my wife wants to move to Canada."
keep one's head above water,avoid succumbing to difficulties,I havent had much time to do any shopping lately because I have been trying to keep my head above water at work.
shaky,weak,my english is still a bit shaky here and there but it's getting better.
drop a bombshell,reveal an unexpected piece of news,Brett dropped a bombshell this morning. He is leaving the company tomorrow.
for the record,just so you know,"did you like my friend that I introduced to you? Just for the record, he is super loaded but really down to earth."
stockpile sth,hoard sth,I have been stockpilling good wines for the last few years so that I can enjoy them when I retire.
judge a book by its cover,judge based on appearanced only,"don't judge a book by its cover, he might be acutually a nice person even though he looks like a thug."
on a positive note,looking at the positive side,"it looks like it's going to be raining all weekend, but on a positive note, we didn't have any outdoor activities planned anyway."
take off,leave; perform well,I'm taking off in five minutes because I have to pick up children at school.
draw the short straw,be unfortunate,I have really drawn the short straw this time. I have to work the night shift three days in a row.
take it out on sb,vent feelings at sb,you need to stop taking it out on your employees. It's not good for workplace morale.
go through sth with a fine-tooth comb,review sth in detail,John is going through the financial statements with a fine-tooth comb.
have free rein,have complete freedom,my wife always has free rein over where we eat because I'm easy.
hold off on sth,defer sth,don't hold off on asking questions cause there's no such thing as a dumb question.
in the dark,unsure,I am in the dark about why my gf has two LINE accounts. It's starting to freak me out.
unpack sth,deconstruct sth,Basic income is such a fascinating topic with lots to unpack.
hold one's horses,wait,"I was gonna pour all my money into stocks, but my financial advisor told me to hold my horses."
get it over with,get it done quickly,let's go speak to this guy and get it over with. I don't wanna see him again after today.
sold on sth,convinced about sth,"he's got all the necessary skills and knowledge, but I'm not sold on his character."
choke,succumb to pressure,I never win my races because I always choke right before the finish line.
fomo,a fear of missing out,I didn't want to go to the party but went anyway because I had fomo.
have a chance of heart,have a chance of mind,it's too late to have a chance of heart now. We've already told the designer what color we want the wedding invitations to be.
suck up to sb,ingratiate oneself to sb,it's so obvious that Naoki is sucking up to the boss. He's not that nice to anybody else.
silver bullet,magical solution,there is no silver bullet to solve the problem of global warming. We cant just pluck something out of thin air.
go for broke,use maximum effort or resources,we are gonna go for broke to get this homework done by next week.
strong suit,strength,don't ask me about glammer. It is not really my strong suit.
pick sb's brain,seek advice from sb,can I please pick your brain about this math question cause you are an expert in this sort of stuff?
textbook,perfect,that was absolutely a textbook free-kick from Messi. He's really got the Midas touch.
to each their own,people have their own preferences,"I would never wanna work for the same company for more than ten years, but to each their own, I suppose."
save face,avoid humiliation,I need to show up to dinner to save face. I missed the last one.
get behind sth,support sth,we really need to get behind our team tonight. They seem to play a lot better when the crowd is positive.
as it stands,given the current situation,"as it stands, I wont be able to come to lunch. It looks like it's going to be a busy day at work."
broaden one's horizons,expand on one's views,you should broaden your horizens by studying abroad.
cant help oneself,cant control oneself,"I just cannot help myself when it comes to dessert, I just love it so much."
over the moon,very happy,I am over the moon about getting a new smartphone for Christmas. Iwasnt expecting to receive something that expensive from my friend.
remind me again,refresh my memory,"remind me again, how do I get home from here? I am so wasted."
stumble one's way through sth,progress falteringly through sth,"pull stumbled his way through his speech, it was clear that he hadnt practiced it at all."
panicky,nervous; anxious,sam gets a bit panicky when he has to present to a crowd.
below the belt,cruel and unfair,"asking a question like, ""when will you ever get married?"" can really hit below the belt."
one in a million,unique; unlikely,the chances of the new song being popular are one in a million.
an experience,an interesting experience,when I was a high school student I would often study at McDnald's until late at night.
pull the plug,cancel,I cant believe they just pulled the plug on that TV show. It's only been running for two seasons and it was so good.
water under the bridge,all in the past,I am not angry anymore because it was a very long time ago. It's water under the bridge.
kill two birds with one stone,accomplish two things through one action,Cycling to work kills two birds with one stone. It keeps you fit as well as getting you to work.
top dog,most important person,try not to upset Nick too much. He's the top dog around here.
no news is good news,not hearing about something indicates that nothing bad has happened,"I havent heard anything from my credit card company. No news is good news, right?"
get looks from people,be stared at by people,if you speak english in Japan you might get looks from people but it's the best way to learn.
slam dunk,certain success,I thought it was a slam dunk that my girlfriend would accept my proposal but reaity is harsh.
pigeonhole sb/sth,place sb/sth into a restrictive category,"now that the smoking rate is falling, it's critical for tobacco companies to diversify their products to avoid being pigeonhole as purely tobacco companies. "
peace of mind,feelings of security,"My health insurance policy gives me peace of mind. I know if anything happens to me, I'll be taken care of financially."
that's the way the cookie crumbles,unfortunate things happen sometimes,"I don't like that a bird crapped on my head this morning, but that's the way the cookie crumbles"
open (up) Pandora's box,start something that leads to problems,"I am sure AI will bring a lot of benefits, but I'm concerned about the threat of weaponized AI. Once we open up this Pandora's box, it will be hard to close it."
music to my ears,great news,Ben just told me that the new product is selling well. It's music to my ears.
showboat,show off,"the boxer put his guard down to showboat, and then got knocked out."
take shape,become crystalized,"after spending eight hours bouncing ideas off each other, our plan is finally starting to take shape."
get to the heart of the matter,address the most important matter,his talent for getting to the heart of the matter is just stunning. I wish I could be like him.
cut sth in many different ways,interpret sth in many different ways,we can cut thefinal data in many different ways depending on how you wanna look at our business
picture perfect,ideal,I've found a picture perfect hotel on this website. Let's book now.
make sb's blood boil,make sb very angry,my mom woke me up at 5am this morning. That really made my blood boil. Today is Sunday.
roll off the tongue,lend itself to being said,"when you name your company, you should make sure the name rolls off the tongue. It impacts its future popularity."
no hard feelings,no grudges,"you don't have to apologize so many times. Don't worry, no hard feeings."
kick sb when sb is down,make things worse for sb when sb is in a bad situation,it's typical of the mean manager to kick someone when they are down.
soldier on,progress in the face of adversity,"I know we are missing a team member, but we don't have any choice but to soldier on."
take away from sth,detract from sth,"not to take away from his achievement, but saying ""I did everything myself"", is ridiculous. He clearly had people helping him."
bet one's house on sth/(that),guarantee sth/(that),I will bet my house on me winning this prize. I know I will because I pulled some strings.
every man and his dog,an excessively large number of people.,"every man and his dog works abroad these days, so I should probably also think about it."
play second fiddle to sb/sth,be treated as less important than sb/sth,I cant believe Stuart's been happy to play second fiddle to Chris. He's clearly the more talented of the two.
play with house money,do this with minimal or no risk,"this handbag that I'm selling was given to me for free, so I am playing with house money."
fact of life,unavoidable thing,we all have to pay our taxes. It's just a fact of life.
a dime a dozen,very common,People with 10k+ followers on instagram are a dime a dozen nowadays.
few and far between,very rare,"while arcades are now few and far between in the States, they are still booming in Japan."
elephant in the room,sensitive topic ,education inequality between high and low income students is the elephant in the room.
with a straight face,in a serious manner,how can you tell me that you know a sure-fire way to pick up girls with a straight face after you have just failed five times in a row.
go off the rails,baheve crazily or erratically,the promising student went off the rails after he started hanging out with drag addicts.
once in a blue moon,very rarely,"in New zealand, the train runs on time once in a blue moon. In japan it runs on the dot most of the time."
at a loss for words,speechless,I told my gf that this is the fifth time this year I have lost my wallet. She was at a loss for words.
safety net,risk reduction measure,"the man next to me on the train said to whoever was on the phone ""She's my safety net, she just doesn't know it"" this kinda person makes me cringe."
sink or swim,unforgiving,I left my last company because it was a sink or swim environment. It never allows people to stay at the same level for more than two years.
get cold feet,suddenly become too anxious,"this pretty girl agreed to go on a date with me, but then stood me up. She probably got cold feet."
steal sb's/sth's thunder,take attention away from sb/sth,I am worried about that the bridemaids being too well dressed will steal the bride's thunder.
in the driver's seat,in control,I don't really  enjoy following instructions. I'd prefer to be in the driver's seat.
out of the ordinary,unusual,that pink car with a huge anime sticker is bit out of the ordinary.
pep talk,short motivational speech,when I am unmotivated I always give a little pep talk to myself and it's surprisingly effective.
get the lay of the land,understand the background,"today I am going to meet up with the new project team, get the lay of the land, and make a plan of attack for the next few weeks."
barking up the wrong tree,completely wrong in the direction or way of thinking,"is that an IT-related question? If so, you are barking up the wrong tree. I'm the cleaner."
moving target,constantly moving thing,"solving business problems is like hitting a moving target, so your strategy has to be flexible."
time is of the essence,speed is important,"time is of the essence, so get going on your dreams right now. you can't keep treading water."
wear one's heart on one's sleeve,be visibly emotional,I can always tell when Jimmy's upset. He wears his heart on his sleeve.
highly strung,tense,you shouldn't make too much noise around mom today. She is quite highly strung.
cost an arm and a leg,cost a lot of money,can anyone recommend a video editing app for iPhones that wont cost me an arm and a leg?
go (right) down to the wire,be uncertain until the end,our financial results this year will go down to the wire.
lose face,be embarassed,i don't wanna take back my comments because I may lose face.
get one's wires crossed,misunderstand,sorry I got my wires crossed. The message wasn't meant for you. It was supposed to be sent to somebody else.
up one's game,raise one's level of performance,we need to up our game to score a goal. The opponent is last year's champion.
catch-all,grouping ,"in Japan, the word ""sake"" is a catch-all term for any alcoholic liquor, while in other countries it normally refers to rice wine."
shake sth up,change sth up significantly,"just to shake things up a bit, I am going  to move to Russia and teach english for a year."
knock on wood,hopefully,"today wasn't my day, but tomorrow will be great. Knock on wood."
"where there's a will, there' a way",a goal will be achieved if enough effort is applied,"you don't think we will be able to catch the next flight? Where there's a will, there's a way."
make sb's ears bleed,sounds unpleasant to sb,music that kids listen to these days really makea my ears bleed.
pull the wool over sb's eyes,deceive sb,"George tried to pull the wool over my eyes, but I already knew what was happening yesterday."
put one's house in order,organize one's affairs,"as soon as we put our house in order, customers will come back to us. Once that happens, we will make a killing again."
take sth/sb lightly,treat sth/sb as unimportant,you shouldn't take that test so lightly. A lot of people have failed that subject previously.
throw sb to the wolves,abandon sb,"I thought my boss would support me when I got asked the tough questions, but he threw me to the wolves."
foot for thought,something worth thinking seriously about,"we just had a D and M with Michael about the meaning of life, it's food for thought."
a picture is worth a thousand words,it's easier to show visually than to describe it with words,"you don't know the tower of pisa? No way surely you've seen it. Give me a sec, I'll show you some photos. A picture is worth a thousand words."
taken care of,resolved,that issue we had with the delivery company has finally been taken care of. We finally figured out what was going wrong.
sneak out,quietly exit out,I need to sneak out of the meeting for a few minutes this afternoon.
reach a tipping point,arrive at a pivotal moment,"we reached an economic tipping point this year, with more than 50% of the global population classified as middle class or wealthier for the first time."
see for youself,verify it yourself,I think tokyo these days is much more foreigner friendly but come and see for yourself.
blow one's own horn,brag about oneself,I don't want to blow my own horn but I'm a very good singer
out of the woods,out of difficulty,"my baby was on oxygen for nearly five months, but she's out of the woods now and doing fine."
ups and downs,positive and negative moments,people say life has its ups and downs but I feel I have never experienced the ups. Where are they?
up and coming,promising,be sure to check this guy out. He's an up and coming tech youtuber with great content.
